Here is a test file you can use (from http://unicode.org/cldr/utility/list-unicodeset.jsp?a=[^[:c:][:z:][:di:]]&abb=on&ucd=on)

Every codepoint within one of these ranges (in field 0) should succeed, and every codepoint outside of these ranges should fail. Even testing that the first of each range works, and the last+1 fails would be a good test.

0021..007E ; TILDE
00A1..00AC ; NOT SIGN
00AE..034E ; COMBINING UPWARDS ARROW BELOW
0350..0377 ; GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
037A..037F ; GREEK CAPITAL LETTER YOT
0384..038A ; GREEK CAPITAL LETTER IOTA WITH TONOS
038C ; GREEK CAPITAL LETTER OMICRON WITH TONOS
038E..03A1 ; GREEK CAPITAL LETTER RHO
03A3..052F ; CYRILLIC SMALL LETTER EL WITH DESCENDER
0531..0556 ; ARMENIAN CAPITAL LETTER FEH
0559..055F ; ARMENIAN ABBREVIATION MARK
0561..0587 ; ARMENIAN SMALL LIGATURE ECH YIWN
0589 ; ARMENIAN FULL STOP
058A ; ARMENIAN HYPHEN
058D..058F ; ARMENIAN DRAM SIGN
0591..05C7 ; HEBREW POINT QAMATS QATAN
05D0..05EA ; HEBREW LETTER TAV
05F0..05F4 ; HEBREW PUNCTUATION GERSHAYIM
0606..061B ; ARABIC SEMICOLON
061E..06DC ; ARABIC SMALL HIGH SEEN
06DE..070D ; SYRIAC HARKLEAN ASTERISCUS
0710..074A ; SYRIAC BARREKH
074D..07B1 ; THAANA LETTER NAA
07C0..07FA ; NKO LAJANYALAN
0800..082D ; SAMARITAN MARK NEQUDAA
0830..083E ; SAMARITAN PUNCTUATION ANNAAU
0840..085B ; MANDAIC GEMINATION MARK
085E ; MANDAIC PUNCTUATION
08A0..08B4 ; ARABIC LETTER KAF WITH DOT BELOW
08E3..0983 ; BENGALI SIGN VISARGA
0985..098C ; BENGALI LETTER VOCALIC L
098F ; BENGALI LETTER E
0990 ; BENGALI LETTER AI
0993..09A8 ; BENGALI LETTER NA
09AA..09B0 ; BENGALI LETTER RA
09B2 ; BENGALI LETTER LA
09B6..09B9 ; BENGALI LETTER HA
09BC..09C4 ; BENGALI VOWEL SIGN VOCALIC RR
09C7 ; BENGALI VOWEL SIGN E
09C8 ; BENGALI VOWEL SIGN AI
09CB..09CE ; BENGALI LETTER KHANDA TA
09D7 ; BENGALI AU LENGTH MARK
09DC ; BENGALI LETTER RRA
09DD ; BENGALI LETTER RHA
09DF..09E3 ; BENGALI VOWEL SIGN VOCALIC LL
09E6..09FB ; BENGALI GANDA MARK
0A01..0A03 ; GURMUKHI SIGN VISARGA
0A05..0A0A ; GURMUKHI LETTER UU
0A0F ; GURMUKHI LETTER EE
0A10 ; GURMUKHI LETTER AI
0A13..0A28 ; GURMUKHI LETTER NA
0A2A..0A30 ; GURMUKHI LETTER RA
0A32 ; GURMUKHI LETTER LA
0A33 ; GURMUKHI LETTER LLA
0A35 ; GURMUKHI LETTER VA
0A36 ; GURMUKHI LETTER SHA
0A38 ; GURMUKHI LETTER SA
0A39 ; GURMUKHI LETTER HA
0A3C ; GURMUKHI SIGN NUKTA
0A3E..0A42 ; GURMUKHI VOWEL SIGN UU
0A47 ; GURMUKHI VOWEL SIGN EE
0A48 ; GURMUKHI VOWEL SIGN AI
0A4B..0A4D ; GURMUKHI SIGN VIRAMA
0A51 ; GURMUKHI SIGN UDAAT
0A59..0A5C ; GURMUKHI LETTER RRA
0A5E ; GURMUKHI LETTER FA
0A66..0A75 ; GURMUKHI SIGN YAKASH
0A81..0A83 ; GUJARATI SIGN VISARGA
0A85..0A8D ; GUJARATI VOWEL CANDRA E
0A8F..0A91 ; GUJARATI VOWEL CANDRA O
0A93..0AA8 ; GUJARATI LETTER NA
0AAA..0AB0 ; GUJARATI LETTER RA
0AB2 ; GUJARATI LETTER LA
0AB3 ; GUJARATI LETTER LLA
0AB5..0AB9 ; GUJARATI LETTER HA
0ABC..0AC5 ; GUJARATI VOWEL SIGN CANDRA E
0AC7..0AC9 ; GUJARATI VOWEL SIGN CANDRA O
0ACB..0ACD ; GUJARATI SIGN VIRAMA
0AD0 ; GUJARATI OM
0AE0..0AE3 ; GUJARATI VOWEL SIGN VOCALIC LL
0AE6..0AF1 ; GUJARATI RUPEE SIGN
0AF9 ; GUJARATI LETTER ZHA
0B01..0B03 ; ORIYA SIGN VISARGA
0B05..0B0C ; ORIYA LETTER VOCALIC L
0B0F ; ORIYA LETTER E
0B10 ; ORIYA LETTER AI
0B13..0B28 ; ORIYA LETTER NA
0B2A..0B30 ; ORIYA LETTER RA
0B32 ; ORIYA LETTER LA
0B33 ; ORIYA LETTER LLA
0B35..0B39 ; ORIYA LETTER HA
0B3C..0B44 ; ORIYA VOWEL SIGN VOCALIC RR
0B47 ; ORIYA VOWEL SIGN E
0B48 ; ORIYA VOWEL SIGN AI
0B4B..0B4D ; ORIYA SIGN VIRAMA
0B56 ; ORIYA AI LENGTH MARK
0B57 ; ORIYA AU LENGTH MARK
0B5C ; ORIYA LETTER RRA
0B5D ; ORIYA LETTER RHA
0B5F..0B63 ; ORIYA VOWEL SIGN VOCALIC LL
0B66..0B77 ; ORIYA FRACTION THREE SIXTEENTHS
0B82 ; TAMIL SIGN ANUSVARA
0B83 ; TAMIL SIGN VISARGA
0B85..0B8A ; TAMIL LETTER UU
0B8E..0B90 ; TAMIL LETTER AI
0B92..0B95 ; TAMIL LETTER KA
0B99 ; TAMIL LETTER NGA
0B9A ; TAMIL LETTER CA
0B9C ; TAMIL LETTER JA
0B9E ; TAMIL LETTER NYA
0B9F ; TAMIL LETTER TTA
0BA3 ; TAMIL LETTER NNA
0BA4 ; TAMIL LETTER TA
0BA8..0BAA ; TAMIL LETTER PA
0BAE..0BB9 ; TAMIL LETTER HA
0BBE..0BC2 ; TAMIL VOWEL SIGN UU
0BC6..0BC8 ; TAMIL VOWEL SIGN AI
0BCA..0BCD ; TAMIL SIGN VIRAMA
0BD0 ; TAMIL OM
0BD7 ; TAMIL AU LENGTH MARK
0BE6..0BFA ; TAMIL NUMBER SIGN
0C00..0C03 ; TELUGU SIGN VISARGA
0C05..0C0C ; TELUGU LETTER VOCALIC L
0C0E..0C10 ; TELUGU LETTER AI
0C12..0C28 ; TELUGU LETTER NA
0C2A..0C39 ; TELUGU LETTER HA
0C3D..0C44 ; TELUGU VOWEL SIGN VOCALIC RR
0C46..0C48 ; TELUGU VOWEL SIGN AI
0C4A..0C4D ; TELUGU SIGN VIRAMA
0C55 ; TELUGU LENGTH MARK
0C56 ; TELUGU AI LENGTH MARK
0C58..0C5A ; TELUGU LETTER RRRA
0C60..0C63 ; TELUGU VOWEL SIGN VOCALIC LL
0C66..0C6F ; TELUGU DIGIT NINE
0C78..0C7F ; TELUGU SIGN TUUMU
0C81..0C83 ; KANNADA SIGN VISARGA
0C85..0C8C ; KANNADA LETTER VOCALIC L
0C8E..0C90 ; KANNADA LETTER AI
0C92..0CA8 ; KANNADA LETTER NA
0CAA..0CB3 ; KANNADA LETTER LLA
0CB5..0CB9 ; KANNADA LETTER HA
0CBC..0CC4 ; KANNADA VOWEL SIGN VOCALIC RR
0CC6..0CC8 ; KANNADA VOWEL SIGN AI
0CCA..0CCD ; KANNADA SIGN VIRAMA
0CD5 ; KANNADA LENGTH MARK
0CD6 ; KANNADA AI LENGTH MARK
0CDE ; KANNADA LETTER FA
0CE0..0CE3 ; KANNADA VOWEL SIGN VOCALIC LL
0CE6..0CEF ; KANNADA DIGIT NINE
0CF1 ; KANNADA SIGN JIHVAMULIYA
0CF2 ; KANNADA SIGN UPADHMANIYA
0D01..0D03 ; MALAYALAM SIGN VISARGA
0D05..0D0C ; MALAYALAM LETTER VOCALIC L
0D0E..0D10 ; MALAYALAM LETTER AI
0D12..0D3A ; MALAYALAM LETTER TTTA
0D3D..0D44 ; MALAYALAM VOWEL SIGN VOCALIC RR
0D46..0D48 ; MALAYALAM VOWEL SIGN AI
0D4A..0D4E ; MALAYALAM LETTER DOT REPH
0D57 ; MALAYALAM AU LENGTH MARK
0D5F..0D63 ; MALAYALAM VOWEL SIGN VOCALIC LL
0D66..0D75 ; MALAYALAM FRACTION THREE QUARTERS
0D79..0D7F ; MALAYALAM LETTER CHILLU K
0D82 ; SINHALA SIGN ANUSVARAYA
0D83 ; SINHALA SIGN VISARGAYA
0D85..0D96 ; SINHALA LETTER AUYANNA
0D9A..0DB1 ; SINHALA LETTER DANTAJA NAYANNA
0DB3..0DBB ; SINHALA LETTER RAYANNA
0DBD ; SINHALA LETTER DANTAJA LAYANNA
0DC0..0DC6 ; SINHALA LETTER FAYANNA
0DCA ; SINHALA SIGN AL-LAKUNA
0DCF..0DD4 ; SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD6 ; SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD8..0DDF ; SINHALA VOWEL SIGN GAYANUKITTA
0DE6..0DEF ; SINHALA LITH DIGIT NINE
0DF2..0DF4 ; SINHALA PUNCTUATION KUNDDALIYA
0E01..0E3A ; THAI CHARACTER PHINTHU
0E3F..0E5B ; THAI CHARACTER KHOMUT
0E81 ; LAO LETTER KO
0E82 ; LAO LETTER KHO SUNG
0E84 ; LAO LETTER KHO TAM
0E87 ; LAO LETTER NGO
0E88 ; LAO LETTER CO
0E8A ; LAO LETTER SO TAM
0E8D ; LAO LETTER NYO
0E94..0E97 ; LAO LETTER THO TAM
0E99..0E9F ; LAO LETTER FO SUNG
0EA1..0EA3 ; LAO LETTER LO LING
0EA5 ; LAO LETTER LO LOOT
0EA7 ; LAO LETTER WO
0EAA ; LAO LETTER SO SUNG
0EAB ; LAO LETTER HO SUNG
0EAD..0EB9 ; LAO VOWEL SIGN UU
0EBB..0EBD ; LAO SEMIVOWEL SIGN NYO
0EC0..0EC4 ; LAO VOWEL SIGN AI
0EC6 ; LAO KO LA
0EC8..0ECD ; LAO NIGGAHITA
0ED0..0ED9 ; LAO DIGIT NINE
0EDC..0EDF ; LAO LETTER KHMU NYO
