0041 ; 0061
0042 ; 0062
0043 ; 0063
0044 ; 0064
0045 ; 0065
0046 ; 0066
0047 ; 0067
0048 ; 0068
0049 ; 0069
004A ; 006A
004B ; 006B
004C ; 006C
004D ; 006D
004E ; 006E
004F ; 006F
0050 ; 0070
0051 ; 0071
0052 ; 0072
0053 ; 0073
0054 ; 0074
0055 ; 0075
0056 ; 0076
0057 ; 0077
0058 ; 0078
0059 ; 0079
005A ; 007A
00B5 ; 03BC
00C0 ; 00E0
00C1 ; 00E1
00C2 ; 00E2
00C3 ; 00E3
00C4 ; 00E4
00C5 ; 00E5
00C6 ; 00E6
00C7 ; 00E7
00C8 ; 00E8
00C9 ; 00E9
00CA ; 00EA
00CB ; 00EB
00CC ; 00EC
00CD ; 00ED
00CE ; 00EE
00CF ; 00EF
00D0 ; 00F0
00D1 ; 00F1
00D2 ; 00F2
00D3 ; 00F3
00D4 ; 00F4
00D5 ; 00F5
00D6 ; 00F6
00D8 ; 00F8
00D9 ; 00F9
00DA ; 00FA
00DB ; 00FB
00DC ; 00FC
00DD ; 00FD
00DE ; 00FE
0100 ; 0101
0102 ; 0103
0104 ; 0105
0106 ; 0107
0108 ; 0109
010A ; 010B
010C ; 010D
010E ; 010F
0110 ; 0111
0112 ; 0113
0114 ; 0115
0116 ; 0117
0118 ; 0119
011A ; 011B
011C ; 011D
011E ; 011F
0120 ; 0121
0122 ; 0123
0124 ; 0125
0126 ; 0127
0128 ; 0129
012A ; 012B
012C ; 012D
012E ; 012F
0130 ; 0069
0132 ; 0069 006A
0133 ; 0069 006A
0134 ; 0135
0136 ; 0137
0139 ; 013A
013B ; 013C
013D ; 013E
013F ; 006C 00B7
0140 ; 006C 00B7
0141 ; 0142
0143 ; 0144
0145 ; 0146
0147 ; 0148
0149 ; 02BC 006E
014A ; 014B
014C ; 014D
014E ; 014F
0150 ; 0151
0152 ; 0153
0154 ; 0155
0156 ; 0157
0158 ; 0159
015A ; 015B
015C ; 015D
015E ; 015F
0160 ; 0161
0162 ; 0163
0164 ; 0165
0166 ; 0167
0168 ; 0169
016A ; 016B
016C ; 016D
016E ; 016F
0170 ; 0171
0172 ; 0173
0174 ; 0175
0176 ; 0177
0178 ; 00FF
0179 ; 017A
017B ; 017C
017D ; 017E
017F ; 0073
0181 ; 0253
0182 ; 0183
0184 ; 0185
0186 ; 0254
0187 ; 0188
0189 ; 0256
018A ; 0257
018B ; 018C
018E ; 01DD
018F ; 0259
0190 ; 025B
0191 ; 0192
0193 ; 0260
0194 ; 0263
0196 ; 0269
0197 ; 0268
0198 ; 0199
019C ; 026F
019D ; 0272
019F ; 0275
01A0 ; 01A1
01A2 ; 01A3
01A4 ; 01A5
01A6 ; 0280
01A7 ; 01A8
01A9 ; 0283
01AC ; 01AD
01AE ; 0288
01AF ; 01B0
01B1 ; 028A
01B2 ; 028B
01B3 ; 01B4
01B5 ; 01B6
01B7 ; 0292
01B8 ; 01B9
01BC ; 01BD
01C4 ; 0064 017E
01C5 ; 0064 017E
01C6 ; 0064 017E
01C7 ; 006C 006A
01C8 ; 006C 006A
01C9 ; 006C 006A
01CA ; 006E 006A
01CB ; 006E 006A
01CC ; 006E 006A
01CD ; 01CE
01CF ; 01D0
01D1 ; 01D2
01D3 ; 01D4
01D5 ; 01D6
01D7 ; 01D8
01D9 ; 01DA
01DB ; 01DC
01DE ; 01DF
01E0 ; 01E1
01E2 ; 01E3
01E4 ; 01E5
01E6 ; 01E7
01E8 ; 01E9
01EA ; 01EB
01EC ; 01ED
01EE ; 01EF
01F1 ; 0064 007A
01F2 ; 0064 007A
01F3 ; 0064 007A
01F4 ; 01F5
01F6 ; 0195
01F7 ; 01BF
01F8 ; 01F9
01FA ; 01FB
01FC ; 01FD
01FE ; 01FF
0200 ; 0201
0202 ; 0203
0204 ; 0205
0206 ; 0207
0208 ; 0209
020A ; 020B
020C ; 020D
020E ; 020F
0210 ; 0211
0212 ; 0213
0214 ; 0215
0216 ; 0217
0218 ; 0219
021A ; 021B
021C ; 021D
021E ; 021F
0220 ; 019E
0222 ; 0223
0224 ; 0225
0226 ; 0227
0228 ; 0229
022A ; 022B
022C ; 022D
022E ; 022F
0230 ; 0231
0232 ; 0233
023A ; 2C65
023B ; 023C
023D ; 019A
023E ; 2C66
0241 ; 0242
0243 ; 0180
0244 ; 0289
0245 ; 028C
0246 ; 0247
0248 ; 0249
024A ; 024B
024C ; 024D
024E ; 024F
0340 ; 0300
0341 ; 0301
0343 ; 0313
0344 ; 0308 0301
0345 ; 03B9
0370 ; 0371
0372 ; 0373
0374 ; 02B9
0376 ; 0377
037E ; 003B
0386 ; 03AC
0387 ; 00B7
0388 ; 03AD
0389 ; 03AE
038A ; 03AF
038C ; 03CC
038E ; 03CD
038F ; 03CE
0391 ; 03B1
0392 ; 03B2
0393 ; 03B3
0394 ; 03B4
0395 ; 03B5
0396 ; 03B6
0397 ; 03B7
0398 ; 03B8
0399 ; 03B9
039A ; 03BA
039B ; 03BB
039C ; 03BC
039D ; 03BD
039E ; 03BE
039F ; 03BF
03A0 ; 03C0
03A1 ; 03C1
03A3 ; 03C3
03A4 ; 03C4
03A5 ; 03C5
03A6 ; 03C6
03A7 ; 03C7
03A8 ; 03C8
03A9 ; 03C9
03AA ; 03CA
03AB ; 03CB
03C2 ; 03C3
03CF ; 03D7
03D0 ; 03B2
03D1 ; 03B8
03D2 ; 03C5
03D3 ; 03CD
03D4 ; 03CB
03D5 ; 03C6
03D6 ; 03C0
03D8 ; 03D9
03DA ; 03DB
03DC ; 03DD
03DE ; 03DF
03E0 ; 03E1
03E2 ; 03E3
03E4 ; 03E5
