# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.0
# Generated: 2006-08-15, 04:35:09 GMT
# Checkin: $Revision: 1.11 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# Characters restricted

0000..0008    ; restricted ; default-ignorable                                        #  [9] (U+0000..U+0008)  <control-0000>..<control-0008>
000E..001F    ; restricted ; default-ignorable                                        # [18] (U+000E..U+001F)  <control-000E>..<control-001F>
007F..0084    ; restricted ; default-ignorable                                        #  [6] (U+007F..U+0084)  <control-007F>..<control-0084>
0086..009F    ; restricted ; default-ignorable                                        # [26] (U+0086..U+009F)  <control-0086>..<control-009F>
00A1..00A7    ; restricted ; not in XID+                                              #  [7] (¡..§)  INVERTED EXCLAMATION MARK..SECTION SIGN
00A9          ; restricted ; not in XID+                                              #      (©)  COPYRIGHT SIGN
00AB..00AC    ; restricted ; not in XID+                                              #  [2] («..¬)  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK..NOT SIGN
00AD          ; restricted ; default-ignorable                                        #      (U+00AD)  SOFT HYPHEN
00AE          ; restricted ; not in XID+                                              #      (®)  REGISTERED SIGN
00B0..00B1    ; restricted ; not in XID+                                              #  [2] (°..±)  DEGREE SIGN..PLUS-MINUS SIGN
00B6          ; restricted ; not in XID+                                              #      (¶)  PILCROW SIGN
00BB          ; restricted ; not in XID+                                              #      (»)  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
00BF          ; restricted ; not in XID+                                              #      (¿)  INVERTED QUESTION MARK
00D7          ; restricted ; not in XID+                                              #      (×)  MULTIPLICATION SIGN
00F7          ; restricted ; not in XID+                                              #      (÷)  DIVISION SIGN
0180          ; restricted ; technical symbol (phonetic)                              #      (ƀ)  LATIN SMALL LETTER B WITH STROKE
018D          ; restricted ; obsolete phonetic                                        #      (ƍ)  LATIN SMALL LETTER TURNED DELTA
01AA..01AB    ; restricted ; obsolete phonetic                                        #  [2] (ƪ..ƫ)  LATIN LETTER REVERSED ESH LOOP..LATIN SMALL LETTER T WITH PALATAL HOOK
01B9..01BB    ; restricted ; obsolete phonetic                                        #  [3] (ƹ..ƻ)  LATIN SMALL LETTER EZH REVERSED..LATIN LETTER TWO WITH STROKE
01BE          ; restricted ; archaic phonetic                                         #      (ƾ)  LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE
01BF          ; restricted ; archaic                                                  #      (ƿ)  LATIN LETTER WYNN
01C0..01C3    ; restricted ; technical symbol (phonetic)                              #  [4] (ǀ..ǃ)  LATIN LETTER DENTAL CLICK..LATIN LETTER RETROFLEX CLICK
021C..021D    ; restricted ; archaic                                                  #  [2] (Ȝ..ȝ)  LATIN CAPITAL LETTER YOGH..LATIN SMALL LETTER YOGH
0250..0252    ; restricted ; technical symbol (phonetic)                              #  [3] (ɐ..ɒ)  LATIN SMALL LETTER TURNED A..LATIN SMALL LETTER TURNED ALPHA
0255          ; restricted ; technical symbol (phonetic)                              #      (ɕ)  LATIN SMALL LETTER C WITH CURL
0258          ; restricted ; technical symbol (phonetic)                              #      (ɘ)  LATIN SMALL LETTER REVERSED E
025A          ; restricted ; technical symbol (phonetic)                              #      (ɚ)  LATIN SMALL LETTER SCHWA WITH HOOK
