#Doc №	Subject	Source	Date
L2/00-001	Complete list of 1999 documents [914 kB]	Winkler	2000-01-01
L2/00-002	Mathematical symbols – new proposal	Barbara Beeton	2000-01-26
L2/00-003	Revised agenda for UTC meeting #82 [rev. 5]	Lisa Moore	2000-01-31
L2/00-004	Motions from UTC #82 in San Jose	Lisa Moore	2000-02-09
L2/00-005	Minutes of UCT #82 in San Jose	Lisa Moore	2000-02-09
L2/00-006	Final agenda for the NCITS/L2 meeting #179	Winkler	2000-02-03
L2/00-007	Minutes from the L2 meeting #179 in San Jose [PDF format for printing L2/00-007.pdf]	Winkler	2000-02-08
L2/00-008	Extension of TR 15285 (.doc format, 1034 kB large), expert contribution	T.K. Sato	2000-01-05
L2/00-009	Khmer update (Amendment 25) expert contribution	T.K. Sato	2000-01-05
L2/00-010	Minutes from the SC2/WG2 meeting #37 in Copenhagen, September 13-16, 1999	UMA	2000-01-05
L2/00-011	Action items from the SC2/WG2 meeting #37	UMA	2000-01-05
L2/00-012	Further discussion on the ZWL	Everson	2000-01-06
L2/00-013	Peso sign and Peseta sign (U-20A7)	T.K. Sato	2000-01-06
L2/00-014	2nd call for SC2/WG2 #38 meeting in Beijing, March 21 – 24, 2000 (replaces L2/99-392). New logistics!	Mike Ksar	2000-01-10
L2/00-015	Preliminary agenda for WG2 #38	Mike Ksar	2000-01-10
L2/00-016	NCITS – reaffirmation of X3.83 - USA Sponsorship Procedures for ISO Registration According to ISO 2375	NCITS	2000-01-05
L2/00-017	Communication from Armenia (SARM)	Levon H. Aslanyan	2000-01-17
L2/00-018	ISO/IEC JTC 1/SC 2 information to ETSI/SMG4 on character coding	K.I. Larsson	2000-01-09
L2/00-019	Canonical XML, Version 1 – for comments	W3C	2000-01-19
L2/00-020	Request for JTC 1 Approval of Category C Liaison between SC 2 and the (W3C)	JTC1 N6040	2000-01-18
L2/00-021	Revised IBM comments on ISO 10646-2 (move Ext. B into the BMP)	IBM, Microsoft	2000-01-21
L2/00-022	Summary of Voting on SC 2 N 3370, Proposed SC 2 Resolution on Transfer of ISO/TC 46/SC 4 Character Sets Projects	SC2 N3401	2000-01-28
L2/00-023	ZWJ contradictions, ZWL (Lloyd Anderson)	Ken Whistler	2000-01-24
L2/00-024	Modified proposal for new JCS characters and reply to Unicode/L2 comments (L2/99-365)	K. Shibano	2000-01-31
L2/00-025	Extending ZWJ and ZWNJ for ligation	Mark Davis	2000-01-25
L2/00-026	Five comments on ZWL and ZWJ	Lloyd Anderson	2000-01-25
L2/00-027	Properties for unassigned characters	Mark Davis	2000-01-25
L2/00-028	Editorial defects in AFII character tables (pdf) and additional corrigenda in ISO/IEC 10646-1 2nd ed.	Bruce Paterson	2000-01-26
L2/00-029	CEN approval of ENV 13710 European Ordering Rules – country comments	Thorgeir Sigudsson	2000-01-26
L2/00-030	Background information on Japanese characters	Yoshi Enomoto	2000-01-31
L2/00-031	Comments on Ligature Control	John Jenkins	2000-01-31
L2/00-032	Compatibility Ideographs in the Unicode Standard	John Jenkins	2000-02-01
L2/00-033	Encoding for STIX math symbols (revised)	Ken Whistler	2000-02-09
L2/00-034	In-process Private Use Characters	Michel Suignard	2000-02-02
L2/00-035	UTF-5, a transformation format for DNS I18N	IETF draft	2000-01-28
L2/00-036	Expert contribution on the placement of additional unified ideographs from JIS X0213, HK, and Korea	Uma	2000-02-03
L2/00-037	US comments on ISO/IEC 10646-2 CD ballot in SC2 N3393	Michel Suignard	2000-02-03
L2/00-038	Where is my character (draft) [UTC/2000-011]	Mark Davis	2000-01-31
L2/00-039	UTR #11: East Asian Width – restated definitions [UTC/2000-012]	Asmus Freytag	2000-01-31
L2/00-040	Property changes for Unicode character database [UTC/2000-013]	Ken Whistler	2000-01-31
L2/00-041	Unicode submission form [UTC/2000-014]	Mark Davis	2000-02-01
