#Code	Age	GC	DT	Name	N4M	Trial	NFKCCF	UCA	Δ	Δ	Δ	N4M Hex	Trial Hex	NFKCCF Hex	UCA Hex	Trial Reasons
'2000	'1.1	'Zs	'Can	EN QUAD	' 	' 	' 	' 	Tr≠N4M			'2000	'0020	'0020	'0020	16. NFKC_CF-Canonical
'2001	'1.1	'Zs	'Can	EM QUAD	' 	' 	' 	' 	Tr≠N4M			'2001	'0020	'0020	'0020	16. NFKC_CF-Canonical
'2002	'1.1	'Zs	'Com	EN SPACE	' 	' 	' 	' 	Tr≠N4M			'2002	'0020	'0020	'0020	16. NFKC_CF-Compat
'2003	'1.1	'Zs	'Com	EM SPACE	' 	' 	' 	' 	Tr≠N4M			'2003	'0020	'0020	'0020	16. NFKC_CF-Compat
'2004	'1.1	'Zs	'Com	THREE-PER-EM SPACE	' 	' 	' 	' 	Tr≠N4M			'2004	'0020	'0020	'0020	16. NFKC_CF-Compat
'2005	'1.1	'Zs	'Com	FOUR-PER-EM SPACE	' 	' 	' 	' 	Tr≠N4M			'2005	'0020	'0020	'0020	16. NFKC_CF-Compat
'2006	'1.1	'Zs	'Com	SIX-PER-EM SPACE	' 	' 	' 	' 	Tr≠N4M			'2006	'0020	'0020	'0020	16. NFKC_CF-Compat
'2008	'1.1	'Zs	'Com	PUNCTUATION SPACE	' 	' 	' 	' 	Tr≠N4M			'2008	'0020	'0020	'0020	16. NFKC_CF-Compat
'2009	'1.1	'Zs	'Com	THIN SPACE	' 	' 	' 	' 	Tr≠N4M			'2009	'0020	'0020	'0020	16. NFKC_CF-Compat
'200A	'1.1	'Zs	'Com	HAIR SPACE	' 	' 	' 	' 	Tr≠N4M			'200A	'0020	'0020	'0020	16. NFKC_CF-Compat
'205F	'3.2	'Zs	'Com	MEDIUM MATHEMATICAL SPACE	' 	' 	' 	' 	Tr≠N4M			'205F	'0020	'0020	'0020	16. NFKC_CF-Compat
'00A0	'1.1	'Zs	'Nb	NO-BREAK SPACE	' 	' 	' 	' 	Tr≠N4M			'00A0	'0020	'0020	'0020	16. NFKC_CF-Nobreak
'2007	'1.1	'Zs	'Nb	FIGURE SPACE	' 	' 	' 	' 	Tr≠N4M			'2007	'0020	'0020	'0020	16. NFKC_CF-Nobreak
'202F	'3.0	'Zs	'Nb	NARROW NO-BREAK SPACE	' 	' 	' 	' 	Tr≠N4M			'202F	'0020	'0020	'0020	16. NFKC_CF-Nobreak
'1D15E	'3.1	'So	'Can	MUSICAL SYMBOL HALF NOTE	'𝅗𝅥	'𝅗𝅥	'𝅗𝅥	'𝅗𝅥	Tr≠N4M			'1D15E	'1D157 1D165	'1D157 1D165	'1D157 1D165	16. NFKC_CF-Canonical
'1D160	'3.1	'So	'Can	MUSICAL SYMBOL EIGHTH NOTE	'𝅘𝅥𝅮	'𝅘𝅥𝅮	'𝅘𝅥𝅮	'𝅘𝅥𝅮	Tr≠N4M			'1D160	'1D158 1D165 1D16E	'1D158 1D165 1D16E	'1D158 1D165 1D16E	16. NFKC_CF-Canonical
'1D1BD	'3.1	'So	'Can	MUSICAL SYMBOL SEMIMINIMA WHITE	'𝆹𝅥𝅮	'𝆹𝅥𝅮	'𝆹𝅥𝅮	'𝆹𝅥𝅮	Tr≠N4M			'1D1BD	'1D1B9 1D165 1D16E	'1D1B9 1D165 1D16E	'1D1B9 1D165 1D16E	16. NFKC_CF-Canonical
'1D1BE	'3.1	'So	'Can	MUSICAL SYMBOL SEMIMINIMA BLACK	'𝆺𝅥𝅮	'𝆺𝅥𝅮	'𝆺𝅥𝅮	'𝆺𝅥𝅮	Tr≠N4M			'1D1BE	'1D1BA 1D165 1D16E	'1D1BA 1D165 1D16E	'1D1BA 1D165 1D16E	16. NFKC_CF-Canonical
'1D15F	'3.1	'So	'Can	MUSICAL SYMBOL QUARTER NOTE	'𝅘𝅥	'𝅘𝅥	'𝅘𝅥	'𝅘𝅥𝅮	Tr≠N4M		Tr≠UCA	'1D15F	'1D158 1D165	'1D158 1D165	'1D158 1D165 1D16E	16. NFKC_CF-Canonical
'1D161	'3.1	'So	'Can	MUSICAL SYMBOL SIXTEENTH NOTE	'𝅘𝅥𝅯	'𝅘𝅥𝅯	'𝅘𝅥𝅯	'𝅘𝅥𝅮	Tr≠N4M		Tr≠UCA	'1D161	'1D158 1D165 1D16F	'1D158 1D165 1D16F	'1D158 1D165 1D16E	16. NFKC_CF-Canonical
'1D162	'3.1	'So	'Can	MUSICAL SYMBOL THIRTY-SECOND NOTE	'𝅘𝅥𝅰	'𝅘𝅥𝅰	'𝅘𝅥𝅰	'𝅘𝅥𝅮	Tr≠N4M		Tr≠UCA	'1D162	'1D158 1D165 1D170	'1D158 1D165 1D170	'1D158 1D165 1D16E	16. NFKC_CF-Canonical
'1D163	'3.1	'So	'Can	MUSICAL SYMBOL SIXTY-FOURTH NOTE	'𝅘𝅥𝅱	'𝅘𝅥𝅱	'𝅘𝅥𝅱	'𝅘𝅥𝅮	Tr≠N4M		Tr≠UCA	'1D163	'1D158 1D165 1D171	'1D158 1D165 1D171	'1D158 1D165 1D16E	16. NFKC_CF-Canonical
'1D164	'3.1	'So	'Can	MUSICAL SYMBOL ONE HUNDRED TWENTY-EIGHTH NOTE	'𝅘𝅥𝅲	'𝅘𝅥𝅲	'𝅘𝅥𝅲	'𝅘𝅥𝅮	Tr≠N4M		Tr≠UCA	'1D164	'1D158 1D165 1D172	'1D158 1D165 1D172	'1D158 1D165 1D16E	16. NFKC_CF-Canonical
'1D1BB	'3.1	'So	'Can	MUSICAL SYMBOL MINIMA	'𝆹𝅥	'𝆹𝅥	'𝆹𝅥	'𝆹𝅥𝅮	Tr≠N4M		Tr≠UCA	'1D1BB	'1D1B9 1D165	'1D1B9 1D165	'1D1B9 1D165 1D16E	16. NFKC_CF-Canonical
'1D1BC	'3.1	'So	'Can	MUSICAL SYMBOL MINIMA BLACK	'𝆺𝅥	'𝆺𝅥	'𝆺𝅥	'𝆺𝅥𝅮	Tr≠N4M		Tr≠UCA	'1D1BC	'1D1BA 1D165	'1D1BA 1D165	'1D1BA 1D165 1D16E	16. NFKC_CF-Canonical
'1D1BF	'3.1	'So	'Can	MUSICAL SYMBOL FUSA WHITE	'𝆹𝅥𝅯	'𝆹𝅥𝅯	'𝆹𝅥𝅯	'𝆹𝅥𝅮	Tr≠N4M		Tr≠UCA	'1D1BF	'1D1B9 1D165 1D16F	'1D1B9 1D165 1D16F	'1D1B9 1D165 1D16E	16. NFKC_CF-Canonical
'1D1C0	'3.1	'So	'Can	MUSICAL SYMBOL FUSA BLACK	'𝆺𝅥𝅯	'𝆺𝅥𝅯	'𝆺𝅥𝅯	'𝆺𝅥𝅮	Tr≠N4M		Tr≠UCA	'1D1C0	'1D1BA 1D165 1D16F	'1D1BA 1D165 1D16F	'1D1BA 1D165 1D16E	16. NFKC_CF-Canonical
'1F110	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER A	'🄐	'(a)	'(a)	'(a)	Tr≠N4M			'1F110	'0028 0061 0029	'0028 0061 0029	'0028 0061 0029	16. NFKC_CF-Compat
'1F111	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER B	'🄑	'(b)	'(b)	'(b)	Tr≠N4M			'1F111	'0028 0062 0029	'0028 0062 0029	'0028 0062 0029	16. NFKC_CF-Compat
'1F112	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER C	'🄒	'(c)	'(c)	'(c)	Tr≠N4M			'1F112	'0028 0063 0029	'0028 0063 0029	'0028 0063 0029	16. NFKC_CF-Compat
'1F113	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER D	'🄓	'(d)	'(d)	'(d)	Tr≠N4M			'1F113	'0028 0064 0029	'0028 0064 0029	'0028 0064 0029	16. NFKC_CF-Compat
'1F114	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER E	'🄔	'(e)	'(e)	'(e)	Tr≠N4M			'1F114	'0028 0065 0029	'0028 0065 0029	'0028 0065 0029	16. NFKC_CF-Compat
'1F115	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER F	'🄕	'(f)	'(f)	'(f)	Tr≠N4M			'1F115	'0028 0066 0029	'0028 0066 0029	'0028 0066 0029	16. NFKC_CF-Compat
'1F116	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER G	'🄖	'(g)	'(g)	'(g)	Tr≠N4M			'1F116	'0028 0067 0029	'0028 0067 0029	'0028 0067 0029	16. NFKC_CF-Compat
'1F117	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER H	'🄗	'(h)	'(h)	'(h)	Tr≠N4M			'1F117	'0028 0068 0029	'0028 0068 0029	'0028 0068 0029	16. NFKC_CF-Compat
'1F118	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER I	'🄘	'(i)	'(i)	'(i)	Tr≠N4M			'1F118	'0028 0069 0029	'0028 0069 0029	'0028 0069 0029	16. NFKC_CF-Compat
'1F119	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER J	'🄙	'(j)	'(j)	'(j)	Tr≠N4M			'1F119	'0028 006A 0029	'0028 006A 0029	'0028 006A 0029	16. NFKC_CF-Compat
'1F11A	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER K	'🄚	'(k)	'(k)	'(k)	Tr≠N4M			'1F11A	'0028 006B 0029	'0028 006B 0029	'0028 006B 0029	16. NFKC_CF-Compat
'1F11B	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER L	'🄛	'(l)	'(l)	'(l)	Tr≠N4M			'1F11B	'0028 006C 0029	'0028 006C 0029	'0028 006C 0029	16. NFKC_CF-Compat
'1F11C	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER M	'🄜	'(m)	'(m)	'(m)	Tr≠N4M			'1F11C	'0028 006D 0029	'0028 006D 0029	'0028 006D 0029	16. NFKC_CF-Compat
'1F11D	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER N	'🄝	'(n)	'(n)	'(n)	Tr≠N4M			'1F11D	'0028 006E 0029	'0028 006E 0029	'0028 006E 0029	16. NFKC_CF-Compat
'1F11E	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER O	'🄞	'(o)	'(o)	'(o)	Tr≠N4M			'1F11E	'0028 006F 0029	'0028 006F 0029	'0028 006F 0029	16. NFKC_CF-Compat
'1F11F	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER P	'🄟	'(p)	'(p)	'(p)	Tr≠N4M			'1F11F	'0028 0070 0029	'0028 0070 0029	'0028 0070 0029	16. NFKC_CF-Compat
'1F120	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER Q	'🄠	'(q)	'(q)	'(q)	Tr≠N4M			'1F120	'0028 0071 0029	'0028 0071 0029	'0028 0071 0029	16. NFKC_CF-Compat
'1F121	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER R	'🄡	'(r)	'(r)	'(r)	Tr≠N4M			'1F121	'0028 0072 0029	'0028 0072 0029	'0028 0072 0029	16. NFKC_CF-Compat
'1F122	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER S	'🄢	'(s)	'(s)	'(s)	Tr≠N4M			'1F122	'0028 0073 0029	'0028 0073 0029	'0028 0073 0029	16. NFKC_CF-Compat
'1F123	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER T	'🄣	'(t)	'(t)	'(t)	Tr≠N4M			'1F123	'0028 0074 0029	'0028 0074 0029	'0028 0074 0029	16. NFKC_CF-Compat
'1F124	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER U	'🄤	'(u)	'(u)	'(u)	Tr≠N4M			'1F124	'0028 0075 0029	'0028 0075 0029	'0028 0075 0029	16. NFKC_CF-Compat
'1F125	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER V	'🄥	'(v)	'(v)	'(v)	Tr≠N4M			'1F125	'0028 0076 0029	'0028 0076 0029	'0028 0076 0029	16. NFKC_CF-Compat
'1F126	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER W	'🄦	'(w)	'(w)	'(w)	Tr≠N4M			'1F126	'0028 0077 0029	'0028 0077 0029	'0028 0077 0029	16. NFKC_CF-Compat
'1F127	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER X	'🄧	'(x)	'(x)	'(x)	Tr≠N4M			'1F127	'0028 0078 0029	'0028 0078 0029	'0028 0078 0029	16. NFKC_CF-Compat
'1F128	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER Y	'🄨	'(y)	'(y)	'(y)	Tr≠N4M			'1F128	'0028 0079 0029	'0028 0079 0029	'0028 0079 0029	16. NFKC_CF-Compat
'1F129	'5.2	'So	'Com	PARENTHESIZED LATIN CAPITAL LETTER Z	'🄩	'(z)	'(z)	'(z)	Tr≠N4M			'1F129	'0028 007A 0029	'0028 007A 0029	'0028 007A 0029	16. NFKC_CF-Compat
'1F12A	'5.2	'So	'Com	TORTOISE SHELL BRACKETED LATIN CAPITAL LETTER S	'🄪	'〔s〕	'〔s〕	'〔s〕	Tr≠N4M			'1F12A	'3014 0073 3015	'3014 0073 3015	'3014 0073 3015	16. NFKC_CF-Compat
'1F240	'5.2	'So	'Com	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-672C	'🉀	'〔本〕	'〔本〕	'〔本〕	Tr≠N4M			'1F240	'3014 672C 3015	'3014 672C 3015	'3014 672C 3015	16. NFKC_CF-Compat
'1F241	'5.2	'So	'Com	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E09	'🉁	'〔三〕	'〔三〕	'〔三〕	Tr≠N4M			'1F241	'3014 4E09 3015	'3014 4E09 3015	'3014 4E09 3015	16. NFKC_CF-Compat
'1F242	'5.2	'So	'Com	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E8C	'🉂	'〔二〕	'〔二〕	'〔二〕	Tr≠N4M			'1F242	'3014 4E8C 3015	'3014 4E8C 3015	'3014 4E8C 3015	16. NFKC_CF-Compat
'1F243	'5.2	'So	'Com	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-5B89	'🉃	'〔安〕	'〔安〕	'〔安〕	Tr≠N4M			'1F243	'3014 5B89 3015	'3014 5B89 3015	'3014 5B89 3015	16. NFKC_CF-Compat
'1F244	'5.2	'So	'Com	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-70B9	'🉄	'〔点〕	'〔点〕	'〔点〕	Tr≠N4M			'1F244	'3014 70B9 3015	'3014 70B9 3015	'3014 70B9 3015	16. NFKC_CF-Compat
'1F245	'5.2	'So	'Com	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6253	'🉅	'〔打〕	'〔打〕	'〔打〕	Tr≠N4M			'1F245	'3014 6253 3015	'3014 6253 3015	'3014 6253 3015	16. NFKC_CF-Compat
'1F246	'5.2	'So	'Com	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-76D7	'🉆	'〔盗〕	'〔盗〕	'〔盗〕	Tr≠N4M			'1F246	'3014 76D7 3015	'3014 76D7 3015	'3014 76D7 3015	16. NFKC_CF-Compat
'1F247	'5.2	'So	'Com	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-52DD	'🉇	'〔勝〕	'〔勝〕	'〔勝〕	Tr≠N4M			'1F247	'3014 52DD 3015	'3014 52DD 3015	'3014 52DD 3015	16. NFKC_CF-Compat
'1F248	'5.2	'So	'Com	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6557	'🉈	'〔敗〕	'〔敗〕	'〔敗〕	Tr≠N4M			'1F248	'3014 6557 3015	'3014 6557 3015	'3014 6557 3015	16. NFKC_CF-Compat
'2103	'1.1	'So	'Com	DEGREE CELSIUS	'℃	'°c	'°c	'°c	Tr≠N4M			'2103	'00B0 0063	'00B0 0063	'00B0 0063	16. NFKC_CF-Compat
'2109	'1.1	'So	'Com	DEGREE FAHRENHEIT	'℉	'°f	'°f	'°f	Tr≠N4M			'2109	'00B0 0066	'00B0 0066	'00B0 0066	16. NFKC_CF-Compat
'2116	'1.1	'So	'Com	NUMERO SIGN	'№	'no	'no	'no	Tr≠N4M			'2116	'006E 006F	'006E 006F	'006E 006F	16. NFKC_CF-Compat
'2121	'1.1	'So	'Com	TELEPHONE SIGN	'℡	'tel	'tel	'tel	Tr≠N4M			'2121	'0074 0065 006C	'0074 0065 006C	'0074 0065 006C	16. NFKC_CF-Compat
'213B	'4.0	'So	'Com	FACSIMILE SIGN	'℻	'fax	'fax	'fax	Tr≠N4M			'213B	'0066 0061 0078	'0066 0061 0078	'0066 0061 0078	16. NFKC_CF-Compat
'249C	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER A	'⒜	'(a)	'(a)	'(a)	Tr≠N4M			'249C	'0028 0061 0029	'0028 0061 0029	'0028 0061 0029	16. NFKC_CF-Compat
'249D	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER B	'⒝	'(b)	'(b)	'(b)	Tr≠N4M			'249D	'0028 0062 0029	'0028 0062 0029	'0028 0062 0029	16. NFKC_CF-Compat
'249E	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER C	'⒞	'(c)	'(c)	'(c)	Tr≠N4M			'249E	'0028 0063 0029	'0028 0063 0029	'0028 0063 0029	16. NFKC_CF-Compat
'249F	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER D	'⒟	'(d)	'(d)	'(d)	Tr≠N4M			'249F	'0028 0064 0029	'0028 0064 0029	'0028 0064 0029	16. NFKC_CF-Compat
'24A0	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER E	'⒠	'(e)	'(e)	'(e)	Tr≠N4M			'24A0	'0028 0065 0029	'0028 0065 0029	'0028 0065 0029	16. NFKC_CF-Compat
'24A1	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER F	'⒡	'(f)	'(f)	'(f)	Tr≠N4M			'24A1	'0028 0066 0029	'0028 0066 0029	'0028 0066 0029	16. NFKC_CF-Compat
'24A2	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER G	'⒢	'(g)	'(g)	'(g)	Tr≠N4M			'24A2	'0028 0067 0029	'0028 0067 0029	'0028 0067 0029	16. NFKC_CF-Compat
'24A3	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER H	'⒣	'(h)	'(h)	'(h)	Tr≠N4M			'24A3	'0028 0068 0029	'0028 0068 0029	'0028 0068 0029	16. NFKC_CF-Compat
'24A4	'1.1	'So	'Com	PARENTHESIZED LATIN SMALL LETTER I	'⒤	'(i)	'(i)	'(i)	Tr≠N4M			'24A4	'0028 0069 0029	'0028 0069 0029	'0028 0069 0029	16. NFKC_CF-Compat
