
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=[NFKCCF]

1C80;	0432;	[NFKCCF]	 # ( ᲀ → в )	CYRILLIC SMALL LETTER ROUNDED VE → CYRILLIC SMALL LETTER VE
1C81;	0434;	[NFKCCF]	 # ( ᲁ → д )	CYRILLIC SMALL LETTER LONG-LEGGED DE → CYRILLIC SMALL LETTER DE
1C84;	0442;	[NFKCCF]	 # ( ᲄ → т )	CYRILLIC SMALL LETTER TALL TE → CYRILLIC SMALL LETTER TE
1C85;	0442;	[NFKCCF]	 # ( ᲅ → т )	CYRILLIC SMALL LETTER THREE-LEGGED TE → CYRILLIC SMALL LETTER TE
1C86;	044A;	[NFKCCF]	 # ( ᲆ → ъ )	CYRILLIC SMALL LETTER TALL HARD SIGN → CYRILLIC SMALL LETTER HARD SIGN
1C87;	0463;	[NFKCCF]	 # ( ᲇ → ѣ )	CYRILLIC SMALL LETTER TALL YAT → CYRILLIC SMALL LETTER YAT
1C88;	A64B;	[NFKCCF]	 # ( ᲈ → ꙋ )	CYRILLIC SMALL LETTER UNBLENDED UK → CYRILLIC SMALL LETTER MONOGRAPH UK

#@override reason=[name]

11448;	003F;	[name]	 # ( 𑑈 → ? )	NEWA SIGN FINAL ANUSVARA → QUESTION MARK
1E00A;	003F;	[name]	 # ( 𞀊 → ? )	COMBINING GLAGOLITIC LETTER INITIAL IZHE → QUESTION MARK
1E95E;	003F;	[name]	 # ( 𞥞 → ? )	ADLAM INITIAL EXCLAMATION MARK → QUESTION MARK
1E95F;	003F;	[name]	 # ( 𞥟 → ? )	ADLAM INITIAL QUESTION MARK → QUESTION MARK
1F19B;	003F;	[name]	 # ( 🆛 → ? )	SQUARED THREE D → QUESTION MARK
1F19C;	003F;	[name]	 # ( 🆜 → ? )	SQUARED SECOND SCREEN → QUESTION MARK
1F19D;	003F;	[name]	 # ( 🆝 → ? )	SQUARED TWO K → QUESTION MARK
1F19E;	003F;	[name]	 # ( 🆞 → ? )	SQUARED FOUR K → QUESTION MARK
1F19F;	003F;	[name]	 # ( 🆟 → ? )	SQUARED EIGHT K → QUESTION MARK
1F1A0;	003F;	[name]	 # ( 🆠 → ? )	SQUARED FIVE POINT ONE → QUESTION MARK
1F1A1;	003F;	[name]	 # ( 🆡 → ? )	SQUARED SEVEN POINT ONE → QUESTION MARK
1F1A2;	003F;	[name]	 # ( 🆢 → ? )	SQUARED TWENTY-TWO POINT TWO → QUESTION MARK
1F1A3;	003F;	[name]	 # ( 🆣 → ? )	SQUARED SIXTY P → QUESTION MARK
1F1A4;	003F;	[name]	 # ( 🆤 → ? )	SQUARED ONE HUNDRED TWENTY P → QUESTION MARK
1F1A5;	003F;	[name]	 # ( 🆥 → ? )	SQUARED LATIN SMALL LETTER D → QUESTION MARK
1F1A6;	003F;	[name]	 # ( 🆦 → ? )	SQUARED HC → QUESTION MARK
1F1A7;	003F;	[name]	 # ( 🆧 → ? )	SQUARED HDR → QUESTION MARK
1F1A8;	003F;	[name]	 # ( 🆨 → ? )	SQUARED HI-RES → QUESTION MARK
1F1A9;	003F;	[name]	 # ( 🆩 → ? )	SQUARED LOSSLESS → QUESTION MARK
1F1AA;	003F;	[name]	 # ( 🆪 → ? )	SQUARED SHV → QUESTION MARK
1F1AB;	003F;	[name]	 # ( 🆫 → ? )	SQUARED UHD → QUESTION MARK
1F1AC;	003F;	[name]	 # ( 🆬 → ? )	SQUARED VOD → QUESTION MARK

#@override reason=[NFKCCF, name]

1C82;	043E;	[NFKCCF, name]	 # ( ᲂ → о )	CYRILLIC SMALL LETTER NARROW O → CYRILLIC SMALL LETTER O
1C83;	0441;	[NFKCCF, name]	 # ( ᲃ → с )	CYRILLIC SMALL LETTER WIDE ES → CYRILLIC SMALL LETTER ES
A7AE;	026A;	[NFKCCF, name]	 # ( Ɪ → ɪ )	LATIN CAPITAL LETTER SMALL CAPITAL I → LATIN LETTER SMALL CAPITAL I
104B0;	104D8;	[NFKCCF, name]	 # ( 𐒰 → 𐓘 )	OSAGE CAPITAL LETTER A → OSAGE SMALL LETTER A
104B1;	104D9;	[NFKCCF, name]	 # ( 𐒱 → 𐓙 )	OSAGE CAPITAL LETTER AI → OSAGE SMALL LETTER AI
104B2;	104DA;	[NFKCCF, name]	 # ( 𐒲 → 𐓚 )	OSAGE CAPITAL LETTER AIN → OSAGE SMALL LETTER AIN
104B3;	104DB;	[NFKCCF, name]	 # ( 𐒳 → 𐓛 )	OSAGE CAPITAL LETTER AH → OSAGE SMALL LETTER AH
104B4;	104DC;	[NFKCCF, name]	 # ( 𐒴 → 𐓜 )	OSAGE CAPITAL LETTER BRA → OSAGE SMALL LETTER BRA
104B5;	104DD;	[NFKCCF, name]	 # ( 𐒵 → 𐓝 )	OSAGE CAPITAL LETTER CHA → OSAGE SMALL LETTER CHA
104B6;	104DE;	[NFKCCF, name]	 # ( 𐒶 → 𐓞 )	OSAGE CAPITAL LETTER EHCHA → OSAGE SMALL LETTER EHCHA
104B7;	104DF;	[NFKCCF, name]	 # ( 𐒷 → 𐓟 )	OSAGE CAPITAL LETTER E → OSAGE SMALL LETTER E
104B8;	104E0;	[NFKCCF, name]	 # ( 𐒸 → 𐓠 )	OSAGE CAPITAL LETTER EIN → OSAGE SMALL LETTER EIN
104B9;	104E1;	[NFKCCF, name]	 # ( 𐒹 → 𐓡 )	OSAGE CAPITAL LETTER HA → OSAGE SMALL LETTER HA
104BA;	104E2;	[NFKCCF, name]	 # ( 𐒺 → 𐓢 )	OSAGE CAPITAL LETTER HYA → OSAGE SMALL LETTER HYA
104BB;	104E3;	[NFKCCF, name]	 # ( 𐒻 → 𐓣 )	OSAGE CAPITAL LETTER I → OSAGE SMALL LETTER I
104BC;	104E4;	[NFKCCF, name]	 # ( 𐒼 → 𐓤 )	OSAGE CAPITAL LETTER KA → OSAGE SMALL LETTER KA
104BD;	104E5;	[NFKCCF, name]	 # ( 𐒽 → 𐓥 )	OSAGE CAPITAL LETTER EHKA → OSAGE SMALL LETTER EHKA
104BE;	104E6;	[NFKCCF, name]	 # ( 𐒾 → 𐓦 )	OSAGE CAPITAL LETTER KYA → OSAGE SMALL LETTER KYA
104BF;	104E7;	[NFKCCF, name]	 # ( 𐒿 → 𐓧 )	OSAGE CAPITAL LETTER LA → OSAGE SMALL LETTER LA
104C0;	104E8;	[NFKCCF, name]	 # ( 𐓀 → 𐓨 )	OSAGE CAPITAL LETTER MA → OSAGE SMALL LETTER MA
104C1;	104E9;	[NFKCCF, name]	 # ( 𐓁 → 𐓩 )	OSAGE CAPITAL LETTER NA → OSAGE SMALL LETTER NA
104C2;	104EA;	[NFKCCF, name]	 # ( 𐓂 → 𐓪 )	OSAGE CAPITAL LETTER O → OSAGE SMALL LETTER O
104C3;	104EB;	[NFKCCF, name]	 # ( 𐓃 → 𐓫 )	OSAGE CAPITAL LETTER OIN → OSAGE SMALL LETTER OIN
104C4;	104EC;	[NFKCCF, name]	 # ( 𐓄 → 𐓬 )	OSAGE CAPITAL LETTER PA → OSAGE SMALL LETTER PA
104C5;	104ED;	[NFKCCF, name]	 # ( 𐓅 → 𐓭 )	OSAGE CAPITAL LETTER EHPA → OSAGE SMALL LETTER EHPA
104C6;	104EE;	[NFKCCF, name]	 # ( 𐓆 → 𐓮 )	OSAGE CAPITAL LETTER SA → OSAGE SMALL LETTER SA
104C7;	104EF;	[NFKCCF, name]	 # ( 𐓇 → 𐓯 )	OSAGE CAPITAL LETTER SHA → OSAGE SMALL LETTER SHA
104C8;	104F0;	[NFKCCF, name]	 # ( 𐓈 → 𐓰 )	OSAGE CAPITAL LETTER TA → OSAGE SMALL LETTER TA
