# Cases where N4M differs from XNFKCCF
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=04+. digraph

1EFA;	1EFB;	006C 006C;	04+. digraph	 # ( Ỻ → ỻ )	LATIN CAPITAL LETTER MIDDLE-WELSH LL → LATIN SMALL LETTER MIDDLE-WELSH LL
2780;	2780;	0031;	04+. missing_NFKC	 # ( ➀ → ➀ )	DINGBAT CIRCLED SANS-SERIF DIGIT ONE → DINGBAT CIRCLED SANS-SERIF DIGIT ONE
2781;	2781;	0032;	04+. missing_NFKC	 # ( ➁ → ➁ )	DINGBAT CIRCLED SANS-SERIF DIGIT TWO → DINGBAT CIRCLED SANS-SERIF DIGIT TWO
2782;	2782;	0033;	04+. missing_NFKC	 # ( ➂ → ➂ )	DINGBAT CIRCLED SANS-SERIF DIGIT THREE → DINGBAT CIRCLED SANS-SERIF DIGIT THREE
2783;	2783;	0034;	04+. missing_NFKC	 # ( ➃ → ➃ )	DINGBAT CIRCLED SANS-SERIF DIGIT FOUR → DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
2784;	2784;	0035;	04+. missing_NFKC	 # ( ➄ → ➄ )	DINGBAT CIRCLED SANS-SERIF DIGIT FIVE → DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
2785;	2785;	0036;	04+. missing_NFKC	 # ( ➅ → ➅ )	DINGBAT CIRCLED SANS-SERIF DIGIT SIX → DINGBAT CIRCLED SANS-SERIF DIGIT SIX
2786;	2786;	0037;	04+. missing_NFKC	 # ( ➆ → ➆ )	DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN → DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
2787;	2787;	0038;	04+. missing_NFKC	 # ( ➇ → ➇ )	DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT → DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
2788;	2788;	0039;	04+. missing_NFKC	 # ( ➈ → ➈ )	DINGBAT CIRCLED SANS-SERIF DIGIT NINE → DINGBAT CIRCLED SANS-SERIF DIGIT NINE
2789;	2789;	0031 0030;	04+. missing_NFKC	 # ( ➉ → ➉ )	DINGBAT CIRCLED SANS-SERIF NUMBER TEN → DINGBAT CIRCLED SANS-SERIF NUMBER TEN
278A;	278A;	0031;	04+. missing_NFKC	 # ( ➊ → ➊ )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE → DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
278B;	278B;	0032;	04+. missing_NFKC	 # ( ➋ → ➋ )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO → DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
278C;	278C;	0033;	04+. missing_NFKC	 # ( ➌ → ➌ )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE → DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
278D;	278D;	0034;	04+. missing_NFKC	 # ( ➍ → ➍ )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR → DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
278E;	278E;	0035;	04+. missing_NFKC	 # ( ➎ → ➎ )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE → DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
278F;	278F;	0036;	04+. missing_NFKC	 # ( ➏ → ➏ )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX → DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
2790;	2790;	0037;	04+. missing_NFKC	 # ( ➐ → ➐ )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN → DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
2791;	2791;	0038;	04+. missing_NFKC	 # ( ➑ → ➑ )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT → DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
2792;	2792;	0039;	04+. missing_NFKC	 # ( ➒ → ➒ )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE → DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
2793;	2793;	0031 0030;	04+. missing_NFKC	 # ( ➓ → ➓ )	DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN → DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
3248;	3248;	0031 0030;	04+. missing_NFKC	 # ( ㉈ → ㉈ )	CIRCLED NUMBER TEN ON BLACK SQUARE → CIRCLED NUMBER TEN ON BLACK SQUARE
3249;	3249;	0032 0030;	04+. missing_NFKC	 # ( ㉉ → ㉉ )	CIRCLED NUMBER TWENTY ON BLACK SQUARE → CIRCLED NUMBER TWENTY ON BLACK SQUARE
324A;	324A;	0033 0030;	04+. missing_NFKC	 # ( ㉊ → ㉊ )	CIRCLED NUMBER THIRTY ON BLACK SQUARE → CIRCLED NUMBER THIRTY ON BLACK SQUARE
324B;	324B;	0034 0030;	04+. missing_NFKC	 # ( ㉋ → ㉋ )	CIRCLED NUMBER FORTY ON BLACK SQUARE → CIRCLED NUMBER FORTY ON BLACK SQUARE
324C;	324C;	0035 0030;	04+. missing_NFKC	 # ( ㉌ → ㉌ )	CIRCLED NUMBER FIFTY ON BLACK SQUARE → CIRCLED NUMBER FIFTY ON BLACK SQUARE
324D;	324D;	0036 0030;	04+. missing_NFKC	 # ( ㉍ → ㉍ )	CIRCLED NUMBER SIXTY ON BLACK SQUARE → CIRCLED NUMBER SIXTY ON BLACK SQUARE
324E;	324E;	0037 0030;	04+. missing_NFKC	 # ( ㉎ → ㉎ )	CIRCLED NUMBER SEVENTY ON BLACK SQUARE → CIRCLED NUMBER SEVENTY ON BLACK SQUARE
324F;	324F;	0038 0030;	04+. missing_NFKC	 # ( ㉏ → ㉏ )	CIRCLED NUMBER EIGHTY ON BLACK SQUARE → CIRCLED NUMBER EIGHTY ON BLACK SQUARE
1F10B;	1F10B;	0030;	04+. missing_NFKC	 # ( 🄋 → 🄋 )	DINGBAT CIRCLED SANS-SERIF DIGIT ZERO → DINGBAT CIRCLED SANS-SERIF DIGIT ZERO
1F10C;	1F10C;	0030;	04+. missing_NFKC	 # ( 🄌 → 🄌 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ZERO → DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ZERO
1F150;	1F150;	0061;	04+. missing_NFKC	 # ( 🅐 → 🅐 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER A → NEGATIVE CIRCLED LATIN CAPITAL LETTER A
1F151;	1F151;	0062;	04+. missing_NFKC	 # ( 🅑 → 🅑 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER B → NEGATIVE CIRCLED LATIN CAPITAL LETTER B
1F152;	1F152;	0063;	04+. missing_NFKC	 # ( 🅒 → 🅒 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER C → NEGATIVE CIRCLED LATIN CAPITAL LETTER C
1F153;	1F153;	0064;	04+. missing_NFKC	 # ( 🅓 → 🅓 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER D → NEGATIVE CIRCLED LATIN CAPITAL LETTER D
1F154;	1F154;	0065;	04+. missing_NFKC	 # ( 🅔 → 🅔 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER E → NEGATIVE CIRCLED LATIN CAPITAL LETTER E
1F155;	1F155;	0066;	04+. missing_NFKC	 # ( 🅕 → 🅕 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER F → NEGATIVE CIRCLED LATIN CAPITAL LETTER F
1F156;	1F156;	0067;	04+. missing_NFKC	 # ( 🅖 → 🅖 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER G → NEGATIVE CIRCLED LATIN CAPITAL LETTER G
1F157;	1F157;	0068;	04+. missing_NFKC	 # ( 🅗 → 🅗 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER H → NEGATIVE CIRCLED LATIN CAPITAL LETTER H
1F158;	1F158;	0069;	04+. missing_NFKC	 # ( 🅘 → 🅘 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER I → NEGATIVE CIRCLED LATIN CAPITAL LETTER I
1F159;	1F159;	006A;	04+. missing_NFKC	 # ( 🅙 → 🅙 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER J → NEGATIVE CIRCLED LATIN CAPITAL LETTER J
1F15A;	1F15A;	006B;	04+. missing_NFKC	 # ( 🅚 → 🅚 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER K → NEGATIVE CIRCLED LATIN CAPITAL LETTER K
1F15B;	1F15B;	006C;	04+. missing_NFKC	 # ( 🅛 → 🅛 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER L → NEGATIVE CIRCLED LATIN CAPITAL LETTER L
1F15C;	1F15C;	006D;	04+. missing_NFKC	 # ( 🅜 → 🅜 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER M → NEGATIVE CIRCLED LATIN CAPITAL LETTER M
1F15D;	1F15D;	006E;	04+. missing_NFKC	 # ( 🅝 → 🅝 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER N → NEGATIVE CIRCLED LATIN CAPITAL LETTER N
1F15E;	1F15E;	006F;	04+. missing_NFKC	 # ( 🅞 → 🅞 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER O → NEGATIVE CIRCLED LATIN CAPITAL LETTER O
1F15F;	1F15F;	0070;	04+. missing_NFKC	 # ( 🅟 → 🅟 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER P → NEGATIVE CIRCLED LATIN CAPITAL LETTER P
1F160;	1F160;	0071;	04+. missing_NFKC	 # ( 🅠 → 🅠 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER Q → NEGATIVE CIRCLED LATIN CAPITAL LETTER Q
1F161;	1F161;	0072;	04+. missing_NFKC	 # ( 🅡 → 🅡 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER R → NEGATIVE CIRCLED LATIN CAPITAL LETTER R
1F162;	1F162;	0073;	04+. missing_NFKC	 # ( 🅢 → 🅢 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER S → NEGATIVE CIRCLED LATIN CAPITAL LETTER S
1F163;	1F163;	0074;	04+. missing_NFKC	 # ( 🅣 → 🅣 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER T → NEGATIVE CIRCLED LATIN CAPITAL LETTER T
1F164;	1F164;	0075;	04+. missing_NFKC	 # ( 🅤 → 🅤 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER U → NEGATIVE CIRCLED LATIN CAPITAL LETTER U
1F165;	1F165;	0076;	04+. missing_NFKC	 # ( 🅥 → 🅥 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER V → NEGATIVE CIRCLED LATIN CAPITAL LETTER V
1F166;	1F166;	0077;	04+. missing_NFKC	 # ( 🅦 → 🅦 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER W → NEGATIVE CIRCLED LATIN CAPITAL LETTER W
1F167;	1F167;	0078;	04+. missing_NFKC	 # ( 🅧 → 🅧 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER X → NEGATIVE CIRCLED LATIN CAPITAL LETTER X
1F168;	1F168;	0079;	04+. missing_NFKC	 # ( 🅨 → 🅨 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER Y → NEGATIVE CIRCLED LATIN CAPITAL LETTER Y
1F169;	1F169;	007A;	04+. missing_NFKC	 # ( 🅩 → 🅩 )	NEGATIVE CIRCLED LATIN CAPITAL LETTER Z → NEGATIVE CIRCLED LATIN CAPITAL LETTER Z
1F170;	1F170;	0061;	04+. missing_NFKC	 # ( 🅰 → 🅰 )	NEGATIVE SQUARED LATIN CAPITAL LETTER A → NEGATIVE SQUARED LATIN CAPITAL LETTER A
1F171;	1F171;	0062;	04+. missing_NFKC	 # ( 🅱 → 🅱 )	NEGATIVE SQUARED LATIN CAPITAL LETTER B → NEGATIVE SQUARED LATIN CAPITAL LETTER B
1F172;	1F172;	0063;	04+. missing_NFKC	 # ( 🅲 → 🅲 )	NEGATIVE SQUARED LATIN CAPITAL LETTER C → NEGATIVE SQUARED LATIN CAPITAL LETTER C
1F173;	1F173;	0064;	04+. missing_NFKC	 # ( 🅳 → 🅳 )	NEGATIVE SQUARED LATIN CAPITAL LETTER D → NEGATIVE SQUARED LATIN CAPITAL LETTER D
1F174;	1F174;	0065;	04+. missing_NFKC	 # ( 🅴 → 🅴 )	NEGATIVE SQUARED LATIN CAPITAL LETTER E → NEGATIVE SQUARED LATIN CAPITAL LETTER E
1F175;	1F175;	0066;	04+. missing_NFKC	 # ( 🅵 → 🅵 )	NEGATIVE SQUARED LATIN CAPITAL LETTER F → NEGATIVE SQUARED LATIN CAPITAL LETTER F
1F176;	1F176;	0067;	04+. missing_NFKC	 # ( 🅶 → 🅶 )	NEGATIVE SQUARED LATIN CAPITAL LETTER G → NEGATIVE SQUARED LATIN CAPITAL LETTER G
1F177;	1F177;	0068;	04+. missing_NFKC	 # ( 🅷 → 🅷 )	NEGATIVE SQUARED LATIN CAPITAL LETTER H → NEGATIVE SQUARED LATIN CAPITAL LETTER H
1F178;	1F178;	0069;	04+. missing_NFKC	 # ( 🅸 → 🅸 )	NEGATIVE SQUARED LATIN CAPITAL LETTER I → NEGATIVE SQUARED LATIN CAPITAL LETTER I
1F179;	1F179;	006A;	04+. missing_NFKC	 # ( 🅹 → 🅹 )	NEGATIVE SQUARED LATIN CAPITAL LETTER J → NEGATIVE SQUARED LATIN CAPITAL LETTER J
1F17A;	1F17A;	006B;	04+. missing_NFKC	 # ( 🅺 → 🅺 )	NEGATIVE SQUARED LATIN CAPITAL LETTER K → NEGATIVE SQUARED LATIN CAPITAL LETTER K
1F17B;	1F17B;	006C;	04+. missing_NFKC	 # ( 🅻 → 🅻 )	NEGATIVE SQUARED LATIN CAPITAL LETTER L → NEGATIVE SQUARED LATIN CAPITAL LETTER L
1F17C;	1F17C;	006D;	04+. missing_NFKC	 # ( 🅼 → 🅼 )	NEGATIVE SQUARED LATIN CAPITAL LETTER M → NEGATIVE SQUARED LATIN CAPITAL LETTER M
1F17D;	1F17D;	006E;	04+. missing_NFKC	 # ( 🅽 → 🅽 )	NEGATIVE SQUARED LATIN CAPITAL LETTER N → NEGATIVE SQUARED LATIN CAPITAL LETTER N
1F17E;	1F17E;	006F;	04+. missing_NFKC	 # ( 🅾 → 🅾 )	NEGATIVE SQUARED LATIN CAPITAL LETTER O → NEGATIVE SQUARED LATIN CAPITAL LETTER O
1F17F;	1F17F;	0070;	04+. missing_NFKC	 # ( 🅿 → 🅿 )	NEGATIVE SQUARED LATIN CAPITAL LETTER P → NEGATIVE SQUARED LATIN CAPITAL LETTER P
1F180;	1F180;	0071;	04+. missing_NFKC	 # ( 🆀 → 🆀 )	NEGATIVE SQUARED LATIN CAPITAL LETTER Q → NEGATIVE SQUARED LATIN CAPITAL LETTER Q
1F181;	1F181;	0072;	04+. missing_NFKC	 # ( 🆁 → 🆁 )	NEGATIVE SQUARED LATIN CAPITAL LETTER R → NEGATIVE SQUARED LATIN CAPITAL LETTER R
1F182;	1F182;	0073;	04+. missing_NFKC	 # ( 🆂 → 🆂 )	NEGATIVE SQUARED LATIN CAPITAL LETTER S → NEGATIVE SQUARED LATIN CAPITAL LETTER S
1F183;	1F183;	0074;	04+. missing_NFKC	 # ( 🆃 → 🆃 )	NEGATIVE SQUARED LATIN CAPITAL LETTER T → NEGATIVE SQUARED LATIN CAPITAL LETTER T
1F184;	1F184;	0075;	04+. missing_NFKC	 # ( 🆄 → 🆄 )	NEGATIVE SQUARED LATIN CAPITAL LETTER U → NEGATIVE SQUARED LATIN CAPITAL LETTER U
1F185;	1F185;	0076;	04+. missing_NFKC	 # ( 🆅 → 🆅 )	NEGATIVE SQUARED LATIN CAPITAL LETTER V → NEGATIVE SQUARED LATIN CAPITAL LETTER V
1F186;	1F186;	0077;	04+. missing_NFKC	 # ( 🆆 → 🆆 )	NEGATIVE SQUARED LATIN CAPITAL LETTER W → NEGATIVE SQUARED LATIN CAPITAL LETTER W
1F187;	1F187;	0078;	04+. missing_NFKC	 # ( 🆇 → 🆇 )	NEGATIVE SQUARED LATIN CAPITAL LETTER X → NEGATIVE SQUARED LATIN CAPITAL LETTER X
1F188;	1F188;	0079;	04+. missing_NFKC	 # ( 🆈 → 🆈 )	NEGATIVE SQUARED LATIN CAPITAL LETTER Y → NEGATIVE SQUARED LATIN CAPITAL LETTER Y
1F189;	1F189;	007A;	04+. missing_NFKC	 # ( 🆉 → 🆉 )	NEGATIVE SQUARED LATIN CAPITAL LETTER Z → NEGATIVE SQUARED LATIN CAPITAL LETTER Z
1F18A;	1F18A;	0070;	04+. missing_NFKC	 # ( 🆊 → 🆊 )	CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTER P → CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTER P
1F18B;	1F18B;	0069 0063;	04+. missing_NFKC	 # ( 🆋 → 🆋 )	NEGATIVE SQUARED IC → NEGATIVE SQUARED IC
1F18C;	1F18C;	0070 0061;	04+. missing_NFKC	 # ( 🆌 → 🆌 )	NEGATIVE SQUARED PA → NEGATIVE SQUARED PA
1F18D;	1F18D;	0073 0061;	04+. missing_NFKC	 # ( 🆍 → 🆍 )	NEGATIVE SQUARED SA → NEGATIVE SQUARED SA
1F18E;	1F18E;	0061 0062;	04+. missing_NFKC	 # ( 🆎 → 🆎 )	NEGATIVE SQUARED AB → NEGATIVE SQUARED AB
1F18F;	1F18F;	0077 0063;	04+. missing_NFKC	 # ( 🆏 → 🆏 )	NEGATIVE SQUARED WC → NEGATIVE SQUARED WC
1F191;	1F191;	0063 006C;	04+. missing_NFKC	 # ( 🆑 → 🆑 )	SQUARED CL → SQUARED CL
1F192;	1F192;	0063 006F 006F 006C;	04+. missing_NFKC	 # ( 🆒 → 🆒 )	SQUARED COOL → SQUARED COOL
1F193;	1F193;	0066 0072 0065 0065;	04+. missing_NFKC	 # ( 🆓 → 🆓 )	SQUARED FREE → SQUARED FREE
1F194;	1F194;	0069 0064;	04+. missing_NFKC	 # ( 🆔 → 🆔 )	SQUARED ID → SQUARED ID
