# File: MathClass.txt
# Revision: 16.0
# Date: 2025-07-01
#
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr25/
#
# ------------------------------------------------
# This file is a classification of characters based on their usage in
# mathematical notation.
#
# While the contents of this file represent the best information
# available to the authors and the Unicode Technical Committee as
# of the date referenced above, it is likely that the information
# in this file will change from time to time.
#
# This file is *NOT* formally part of the Unicode Character Database
# at this time.
#
# The character encoding of this plain-text file is UTF-8.
#
# The data consists of 2 fields.
#
# 1: code point or range
#
# 2: class, one of:
#
#	N - Normal - includes all digits and symbols requiring only one form
#	A - Alphabetic
#	B - Binary
#	C - Closing - usually paired with opening delimiter
#	D - Diacritic
#	F - Fence - unpaired delimiter (often used as opening or closing)
#	G - Glyph_Part - piece of large operator
#	L - Large - n-ary or large operator, often takes limits
#	O - Opening - usually paired with closing delimiter
#	P - Punctuation
#	R - Relation - includes arrows
#	S - Space
#	U - Unary - operators that are only unary
#	V - Vary - operators that can be unary or binary depending on context
#	X - Special - characters not covered by other classes
#
# Fields are delimited by ';'.
# Spaces adjacent to the delimiter or the '#' are not significant
# Future versions of this file may use different amounts of whitespace.
#
# Some character positions in the Mathematical Alphanumeric Symbols block are
# reserved and have been mapped to the Letterlike Symbols block in Unicode.
# This is indicated in 24 special purpose comments.
#
# The character repertoire of this revision is the repertoire of Unicode
# Version 17.0. For more information see Revision 16 or later of UTR #25.
# ------------------------------------------------

#code point;class
0020;S
0021;C
0023;N
0024;N
0025;N
0026;N
0028;O
0029;C
002A;N
002B;V
002C;P
002D;N
002E;P
002F;B
0030;N
0031;N
0032;N
0033;N
0034;N
0035;N
0036;N
0037;N
0038;N
0039;N
003A;P
003B;P
003C;R
003D;R
003E;R
003F;P
0040;N
0041;A
0042;A
0043;A
0044;A
0045;A
0046;A
0047;A
0048;A
0049;A
004A;A
004B;A
004C;A
004D;A
004E;A
004F;A
0050;A
0051;A
0052;A
0053;A
0054;A
0055;A
0056;A
0057;A
0058;A
0059;A
005A;A
005B;O
005C;B
005D;C
005E;N
005F;N
0060;D
0061;A
0062;A
0063;A
0064;A
0065;A
0066;A
0067;A
0068;A
0069;A
006A;A
006B;A
006C;A
006D;A
006E;A
006F;A
0070;A
0071;A
0072;A
0073;A
0074;A
0075;A
0076;A
0077;A
0078;A
0079;A
007A;A
007B;O
007C;F
007D;C
007E;N
00A0;S
00A1;P
00A2;N
00A3;N
00A4;N
00A5;N
00A6;N
00A7;N
00A8;D
00AC;U
00AF;D
00B0;N
00B1;V
00B2;N
00B3;N
00B4;N
00B5;N
00B6;N
00B7;B
00B9;N
00BC;N
00BD;N
00BE;N
00BF;P
00D7;B
00F7;B
0131;A
0237;A
02C6;D
02C7;D
02D8;D
02D9;D
02DA;D
02DC;D
0300;D
0301;D
0302;D
0303;D
0304;D
0305;D
0306;D
0307;D
0308;D
030A;D
030C;D
0311;D
0323;D
032C;D
032D;D
032E;D
032F;D
0330;D
0331;D
0332;D
0333;D
0338;D
033A;D
033F;D
0346;D
0391;A
0392;A
0393;A
0394;A
0395;A
0396;A
0397;A
0398;A
0399;A
039A;A
039B;A
039C;A
039D;A
039E;A
039F;A
03A0;A
03A1;A
03A3;A
03A4;A
03A6;A
03A7;A
03A8;A
03A9;A
03B1;A
03B2;A
03B3;A
03B4;A
03B5;A
03B6;A
03B7;A
03B8;A
03B9;A
03BA;A
03BB;A
03BC;A
03BD;A
03BE;A
03BF;A
03C0;A
03C1;A
03C3;A
03C4;A
03C5;A
03C6;A
03C7;A
03C8;A
03C9;A
03D0;A
03D1;A
03D2;A
03D5;A
03D6;A
03D8;N
03D9;N
03DA;A
03DB;A
03DC;A
03DD;A
03E0;A
03E1;A
03F0;A
03F1;A
03F4;A
03F5;A
03F6;N
0428;A
0606;L
0607;L
0608;A
0627;A
0628;A
0629;A
062A;A
062B;A
062C;A
062D;A
062E;A
062F;A
0630;A
0631;A
0632;A
0633;A
0634;A
0635;A
0636;A
0637;A
0638;A
0639;A
063A;A
1ACF;D
1AD0;D
1AD1;D
1AD2;D
1AD3;D
1AD4;D
1AD5;D
1AD6;D
1AD7;D
1AD8;D
1AD9;D
1ADA;D
1ADB;D
1ADC;D
1ADD;D
1AE0;D
1AE1;D
1AE2;D
1AE3;D
1AE4;D
1AE5;D
1AE6;D
1AE7;D
1AE8;D
1AE9;D
1AEA;D
1AEB;D
2000;S
2001;S
2002;S
2003;S
2004;S
2005;S
2006;S
2007;S
2009;S
200A;S
200B;S
2010;P
2012;P
2013;P
2014;P
2016;F
2020;R
2021;R
2022;B
2026;N
2032;N
2033;N
2034;N
2035;N
2036;N
2037;N
203B;N
203C;N
2040;B
2044;B
204E;B
204F;R
2050;R
2051;N
2052;N
2057;N
205F;S
2061;B
2062;B
2063;P
2064;X
207A;N
207B;N
207C;N
207D;N
207E;N
208A;N
208B;N
208C;N
208D;N
208E;N
20D0;D
20D1;D
20D2;D
20D3;X
20D4;D
20D5;D
20D6;D
20D7;D
20D8;D
20D9;D
20DA;D
20DB;D
20DC;D
20DD;D
20DE;D
20DF;D
20E1;D
20E4;D
20E5;D
20E6;D
20E7;D
20E8;D
20E9;D
20EA;D
20EB;D
20EC;D
20ED;D
20EE;D
20EF;D
2102;A
2107;N
210A;A
210B;A
210C;A
210D;A
210E;N
210F;N
2110;A
2111;A
2112;A
2113;A
2115;A
2118;A
2119;A
211A;A
211B;A
211C;A
211D;A
2124;A
2126;N
2127;N
2128;A
2129;N
212B;A
212C;A
212D;A
212F;A
2130;A
2131;A
2132;N
2133;A
2134;A
2135;A
2136;A
2137;A
2138;A
213C;A
213D;A
213E;N
213F;A
2140;L
2141;N
2142;N
2143;N
2144;N
2145;N
2146;N
2147;N
2148;N
2149;N
214B;N
2190;R
2191;R
2192;R
2193;R
2194;R
2195;R
2196;R
2197;R
2198;R
2199;R
219A;R
